question,answer,context
"What are the two reasoning models introduced by DeepSeek-AI, and how do their training approaches differ?","DeepSeek-AI introduces DeepSeek-R1-Zero and DeepSeek-R1. DeepSeek-R1-Zero is trained primarily through large-scale reinforcement learning (RL) without any supervised fine-tuning (SFT) as a preliminary step. DeepSeek-R1, on the other hand, incorporates multi-stage training and cold-start data before the RL phase to address issues like poor readability and language mixing encountered by DeepSeek-R1-Zero.","DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via
Reinforcement Learning
DeepSeek-AI
research@deepseek.com
Abstract
We introduce our first-generation reasoning models, DeepSeek-R1-Zero and DeepSeek-R1.
DeepSeek-R1-Zero, a model trained via large-scale reinforcement learning (RL) without super-
vised fine-tuning (SFT) as a preliminary step, demonstrates remarkable reasoning capabilities.
Through RL, DeepSeek-R1-Zero naturally emerges with numerous powerful and intriguing
reasoning behaviors. However, it encounters challenges such as poor readability, and language
mixing. To address these issues and further enhance reasoning performance, we introduce
DeepSeek-R1, which incorporates multi-stage training and cold-start data before RL. DeepSeek-
R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks. To support the
research community, we open-source DeepSeek-R1-Zero, DeepSeek-R1, and six dense models
(1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 based o"
What are some of the benefits and drawbacks of using reinforcement learning (RL) to train DeepSeek-R1-Zero?,"DeepSeek-R1-Zero, trained via RL, naturally demonstrates remarkable reasoning capabilities and emerges with numerous powerful and intriguing reasoning behaviors. However, it also encounters challenges such as poor readability and language mixing.","DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via
Reinforcement Learning
DeepSeek-AI
research@deepseek.com
Abstract
We introduce our first-generation reasoning models, DeepSeek-R1-Zero and DeepSeek-R1.
DeepSeek-R1-Zero, a model trained via large-scale reinforcement learning (RL) without super-
vised fine-tuning (SFT) as a preliminary step, demonstrates remarkable reasoning capabilities.
Through RL, DeepSeek-R1-Zero naturally emerges with numerous powerful and intriguing
reasoning behaviors. However, it encounters challenges such as poor readability, and language
mixing. To address these issues and further enhance reasoning performance, we introduce
DeepSeek-R1, which incorporates multi-stage training and cold-start data before RL. DeepSeek-
R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks. To support the
research community, we open-source DeepSeek-R1-Zero, DeepSeek-R1, and six dense models
(1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 based o"
"What is DeepSeek-AI providing to the research community, and what is the performance of DeepSeek-R1 compared to other models?","DeepSeek-AI is open-sourcing DeepSeek-R1-Zero, DeepSeek-R1, and six dense models (1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 to support the research community. DeepSeek-R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks.","DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via
Reinforcement Learning
DeepSeek-AI
research@deepseek.com
Abstract
We introduce our first-generation reasoning models, DeepSeek-R1-Zero and DeepSeek-R1.
DeepSeek-R1-Zero, a model trained via large-scale reinforcement learning (RL) without super-
vised fine-tuning (SFT) as a preliminary step, demonstrates remarkable reasoning capabilities.
Through RL, DeepSeek-R1-Zero naturally emerges with numerous powerful and intriguing
reasoning behaviors. However, it encounters challenges such as poor readability, and language
mixing. To address these issues and further enhance reasoning performance, we introduce
DeepSeek-R1, which incorporates multi-stage training and cold-start data before RL. DeepSeek-
R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks. To support the
research community, we open-source DeepSeek-R1-Zero, DeepSeek-R1, and six dense models
(1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 based o"
What is DualPipe and what are its key features?,DualPipe is an innovative bidirectional pipeline parallelism algorithm introduced in the DeepSeek-V3 Technical Report. Its key features include achieving full overlap of forward and backward computation-communication phases and reducing pipeline bubbles.," DualPipe 
 DualPipe is an innovative bidirectional pipeline parallelism algorithm introduced in the DeepSeek-V3 Technical Report. It achieves full overlap of forward and backward computation-communication phases, also reducing pipeline bubbles. For detailed information on computation-communication overlap, please refer to the profile data. 
 Pipeline Bubbles and Memory Usage Comparison 
 | Method    | Bubble                  | Parameter | Activation |
|:---------:|:-----------------------:|:---------:|:----------:|
| 1F1B      | (PP-1)(𝐹+𝐵)            | 1×        | PP         |
| ZB1P      | (PP-1)(𝐹+𝐵-2𝑊)         | 1×        | PP         |
| DualPipe  | (PP/2-1)(𝐹&amp;𝐵+𝐵-3𝑊)     | 2×        | PP+1       | 
 𝐹 denotes the execution time of a forward chunk, 𝐵 denotes the execution time of a full backward chunk, 𝑊 denotes the execution time of a ""backward for weights"" chunk, and 𝐹&amp;𝐵 denotes the execution time of two mutually overlapped forward and backward chunks. 
 About 
 A bidir"
"According to the provided table, how does DualPipe compare to 1F1B and ZB1P in terms of parameter memory usage?","According to the table, DualPipe uses 2x parameter memory, while both 1F1B and ZB1P use 1x parameter memory."," DualPipe 
 DualPipe is an innovative bidirectional pipeline parallelism algorithm introduced in the DeepSeek-V3 Technical Report. It achieves full overlap of forward and backward computation-communication phases, also reducing pipeline bubbles. For detailed information on computation-communication overlap, please refer to the profile data. 
 Pipeline Bubbles and Memory Usage Comparison 
 | Method    | Bubble                  | Parameter | Activation |
|:---------:|:-----------------------:|:---------:|:----------:|
| 1F1B      | (PP-1)(𝐹+𝐵)            | 1×        | PP         |
| ZB1P      | (PP-1)(𝐹+𝐵-2𝑊)         | 1×        | PP         |
| DualPipe  | (PP/2-1)(𝐹&amp;𝐵+𝐵-3𝑊)     | 2×        | PP+1       | 
 𝐹 denotes the execution time of a forward chunk, 𝐵 denotes the execution time of a full backward chunk, 𝑊 denotes the execution time of a ""backward for weights"" chunk, and 𝐹&amp;𝐵 denotes the execution time of two mutually overlapped forward and backward chunks. 
 About 
 A bidir"
"What do the variables 𝐹, 𝐵, and 𝑊 represent in the table comparing pipeline bubbles and memory usage?","In the table, 𝐹 denotes the execution time of a forward chunk, 𝐵 denotes the execution time of a full backward chunk, and 𝑊 denotes the execution time of a ""backward for weights"" chunk. 𝐹&𝐵 denotes the execution time of two mutually overlapped forward and backward chunks."," DualPipe 
 DualPipe is an innovative bidirectional pipeline parallelism algorithm introduced in the DeepSeek-V3 Technical Report. It achieves full overlap of forward and backward computation-communication phases, also reducing pipeline bubbles. For detailed information on computation-communication overlap, please refer to the profile data. 
 Pipeline Bubbles and Memory Usage Comparison 
 | Method    | Bubble                  | Parameter | Activation |
|:---------:|:-----------------------:|:---------:|:----------:|
| 1F1B      | (PP-1)(𝐹+𝐵)            | 1×        | PP         |
| ZB1P      | (PP-1)(𝐹+𝐵-2𝑊)         | 1×        | PP         |
| DualPipe  | (PP/2-1)(𝐹&amp;𝐵+𝐵-3𝑊)     | 2×        | PP+1       | 
 𝐹 denotes the execution time of a forward chunk, 𝐵 denotes the execution time of a full backward chunk, 𝑊 denotes the execution time of a ""backward for weights"" chunk, and 𝐹&amp;𝐵 denotes the execution time of two mutually overlapped forward and backward chunks. 
 About 
 A bidir"
What is DualPipe and who created it?,"DualPipe is a bidirectional pipeline parallelism algorithm for computation-communication overlap in V3/R1 training. It was created and developed by Jiashi Li, Chengqi Deng, and Wenfeng Liang."," a full backward chunk, 𝑊 denotes the execution time of a ""backward for weights"" chunk, and 𝐹&amp;𝐵 denotes the execution time of two mutually overlapped forward and backward chunks. 
 About 
 A bidirectional pipeline parallelism algorithm for computation-communication overlap in V3/R1 training 
  DualPipe was created and developed by Jiashi Li and Chengqi Deng and Wenfeng Liang.  
 Profiling Data in DeepSeek Infra 
 Here, we publicly share profiling data from our training and inference framework to help the community better understand the communication-computation overlap strategies and low-level implementation details. The profiling data was captured using the PyTorch Profiler. After downloading, you can visualize it directly by navigating to chrome://tracing in the Chrome browser (or edge://tracing in the Edge browser). Notice that we simulate an absolutely balanced MoE routing strategy for profiling. 
 Training 
 The training profile data demonstrates our overlapping strategy for a"
"What kind of profiling data is being shared, and how can it be visualized?",The profiling data being shared is from the creators' training and inference framework. It's meant to help the community understand communication-computation overlap strategies and low-level implementation details. The data was captured using the PyTorch Profiler and can be visualized by navigating to chrome://tracing in the Chrome browser (or edge://tracing in the Edge browser).," a full backward chunk, 𝑊 denotes the execution time of a ""backward for weights"" chunk, and 𝐹&amp;𝐵 denotes the execution time of two mutually overlapped forward and backward chunks. 
 About 
 A bidirectional pipeline parallelism algorithm for computation-communication overlap in V3/R1 training 
  DualPipe was created and developed by Jiashi Li and Chengqi Deng and Wenfeng Liang.  
 Profiling Data in DeepSeek Infra 
 Here, we publicly share profiling data from our training and inference framework to help the community better understand the communication-computation overlap strategies and low-level implementation details. The profiling data was captured using the PyTorch Profiler. After downloading, you can visualize it directly by navigating to chrome://tracing in the Chrome browser (or edge://tracing in the Edge browser). Notice that we simulate an absolutely balanced MoE routing strategy for profiling. 
 Training 
 The training profile data demonstrates our overlapping strategy for a"
What does the training profile data demonstrate?,The training profile data demonstrates the overlapping strategy used in training.," a full backward chunk, 𝑊 denotes the execution time of a ""backward for weights"" chunk, and 𝐹&amp;𝐵 denotes the execution time of two mutually overlapped forward and backward chunks. 
 About 
 A bidirectional pipeline parallelism algorithm for computation-communication overlap in V3/R1 training 
  DualPipe was created and developed by Jiashi Li and Chengqi Deng and Wenfeng Liang.  
 Profiling Data in DeepSeek Infra 
 Here, we publicly share profiling data from our training and inference framework to help the community better understand the communication-computation overlap strategies and low-level implementation details. The profiling data was captured using the PyTorch Profiler. After downloading, you can visualize it directly by navigating to chrome://tracing in the Chrome browser (or edge://tracing in the Edge browser). Notice that we simulate an absolutely balanced MoE routing strategy for profiling. 
 Training 
 The training profile data demonstrates our overlapping strategy for a"
"What training configuration was used for profiling, and what simplification was made during profiling?","The training profile data demonstrates an overlapping strategy for a pair of individual forward and backward chunks in DualPipe, where each chunk contains 4 MoE (Mixture of Experts) layers. The parallel configuration aligns with DeepSeek-V3 pretraining settings, using EP64 and TP1 with a 4K sequence length. For simplicity, PP communication was not included during profiling.","ge://tracing in the Edge browser). Notice that we simulate an absolutely balanced MoE routing strategy for profiling. 
 Training 
 The training profile data demonstrates our overlapping strategy for a pair of individual forward and backward chunks in DualPipe. Each chunk contains 4 MoE (Mixture of Experts) layers. The parallel configuration aligns with DeepSeek-V3 pretraining settings: EP64, TP1 with 4K sequence length. And the PP communication is not included during profilng for simplicity. 
 Inference 
 Prefilling 
 For prefilling, the profile employs EP32 and TP1 (in line with DeepSeek V3/R1 ’s actual online deployment), with a prompt length set to 4K and a batch size of 16K tokens per GPU. In our prefilling stage, we utilize two micro-batches to overlap computation and all-to-all communication, while ensuring that the attention computation load is balanced across the two micro-batches — meaning that the same prompt may be split between them. 
 Decoding 
 For decoding, the profile e"
